,CASE_NUMBER,CASE_STATUS,DECISION_DATE,SOC_TITLE,EMPLOYER_NAME,WORKSITE_CITY,WORKSITE_STATE,PREVAILING_WAGE,state_name,popullation
1703823,I-200-20349-957180,Certified,2020-12-21,Operations Research Analysts,"Greif Packaging, Llc",Delaware,California,94744.0,Ohio,11756058.0
1703824,I-200-20349-957089,Certified,2020-12-21,"Software Developers, Applications","American Express Travel Related Services Company, Inc.",New York,California,122221.0,New York,19677151.0
1703825,I-200-20349-957052,Certified,2020-12-21,"Software Developers, Applications",Great West Life & Annuity Insurance Company,Redwood City,California,145246.0,California,39029342.0
1703826,I-200-20349-956285,Certified,2020-12-21,Information Technology Project Managers,Accenture Llp,Princeton,California,87069.0,New Jersey,9261699.0
1703827,I-200-20349-955963,Certified,2020-12-21,Materials Engineers,Intel Corporation,Hillsboro,California,93038.0,Oregon,4240137.0
1703828,I-200-20350-959023,Certified,2020-12-21,"Secondary School Teachers, Except Special And Career/Technical Education",Holly Springs School District,Holly Springs,California,43350.0,Mississippi,2940057.0
1703829,I-200-20349-957648,Certified,2020-12-21,Clinical Data Managers,"Gilead Sciences, Inc.",Foster City,California,125965.0,California,39029342.0
1703830,I-200-20350-959165,Certified,2020-12-21,Computer Hardware Engineers,Amazon.com Services Llc,Sunnyvale,California,138387.0,California,39029342.0
1703831,I-200-20350-959185,Certified,2020-12-21,"Software Developers, Applications",Amazon.com Services Llc,Seattle,California,113110.0,Washington,7785786.0
1703832,I-200-20349-956195,Certified,2020-12-21,Information Technology Project Managers,Accenture Llp,Norwalk,California,104749.0,California,39029342.0
1703833,I-200-20349-957502,Certified,2020-12-21,Architectural And Engineering Managers,"Ip Infusion, Inc.",Santa Clara,California,133370.0,California,39029342.0
1703834,I-200-20349-957164,Certified,2020-12-21,Information Security Analysts,"Aig Employee Services, Inc.",Reston,California,95815.0,Virginia,8683619.0
1703835,I-200-20349-956931,Certified,2020-12-21,"Software Developers, Applications",Garmin International Inc.,Olathe,California,92539.0,Kansas,2937150.0
1703836,I-200-20350-959050,Certified,2020-12-21,"Software Developers, Applications","Applied Intuition, Inc.",Sunnyvale,California,120578.0,California,39029342.0
1703837,I-200-20349-958273,Certified,2020-12-21,"Software Developers, Applications",Asurion Llc,Nashville,California,80163.0,Tennessee,7051339.0
1703838,I-200-20350-959174,Certified,2020-12-21,"Software Developers, Applications",Amazon.com Services Llc,New York,California,100526.0,New York,19677151.0
1703839,I-200-20349-958132,Certified,2020-12-21,Clinical Data Managers,Brigham And Women's Hospital,Boston,California,90251.0,Massachusetts,6981974.0
1703840,I-200-20349-956524,Certified,2020-12-21,"Software Developers, Applications",The Bank Of New York Mellon,Jersey City,California,143936.0,New Jersey,9261699.0
1703841,I-200-20349-956279,Certified,2020-12-21,Information Technology Project Managers,Accenture Llp,Atlanta,California,114899.0,Georgia,10912876.0
1703842,I-200-20349-956704,Certified,2020-12-21,Information Technology Project Managers,"Wal-Mart Associates, Inc.",Bentonville,California,85758.0,Arkansas,3045637.0
1703843,I-200-20349-958459,Certified,2020-12-21,"Software Developers, Applications",Bank Of America N.a.,New York,California,100526.0,New York,19677151.0
1703844,I-200-20349-956440,Certified,2020-12-21,Computer Systems Analysts,Accenture Llp,Woodland Hills,California,87173.0,California,39029342.0
1703845,I-200-20349-956044,Certified,2020-12-21,Database Administrators,"Amazon Web Services, Inc.",Seattle,California,78478.0,Washington,7785786.0
1703846,I-200-20349-957261,Certified,2020-12-21,"Mechanical Engineers, R&D",The University Of Chicago,Chicago,California,42702.0,Illinois,12582032.0
1703847,I-200-20349-958646,Certified,2020-12-21,Materials Engineers,"Carbon, Inc.",Redwood City,California,119912.0,California,39029342.0
1703848,I-200-20349-956593,Certified,2020-12-21,Electrical Engineers,Stryker Corporation,Kalamazoo,California,96949.0,Michigan,10034113.0
1703849,I-200-20349-956527,Certified,2020-12-21,"Software Developers, Applications","Fitch Ratings, Inc.",Chicago,California,121389.0,Illinois,12582032.0
1703850,I-200-20349-957984,Certified,2020-12-21,Information Technology Project Managers,Schlumberger Technology Corporation,Houston,California,84490.0,Texas,30029572.0
1703851,I-200-20349-957422,Certified,2020-12-21,"Computer Occupations, All Other",Trinuc Llc,Auburn Hills,California,78811.0,Michigan,10034113.0
1703852,I-200-20349-957630,Certified,2020-12-21,"Software Developers, Applications","Indus Valley Consultants, Inc.",Rolling Meadows,California,87838.0,Illinois,12582032.0
1703853,I-200-20350-959896,Certified,2020-12-22,Computer And Information Systems Managers,"Facebook, Inc.",Menlo Park,California,161499.0,California,39029342.0
1703854,I-200-20350-960522,Certified,2020-12-22,"Software Developers, Applications",Natsoft Corporation,Covina,California,99632.0,California,39029342.0
1703855,I-200-20350-961762,Certified,2020-12-22,"Software Developers, Applications",Centizen Inc,Beaverton,California,90979.0,Oregon,4240137.0
1703856,I-200-20350-961460,Certified,2020-12-22,"Software Developers, Applications","Ics Global Soft, Inc",Plano,California,93558.0,Texas,30029572.0
1703857,I-200-20350-961749,Certified,2020-12-22,"Software Developers, Systems Software",New England It Associates Inc,Albany,California,79643.0,New York,19677151.0
1703858,I-200-20350-959380,Certified,2020-12-22,Sales Engineers,Wipro Limited,Lincolnshire,California,117250.0,Illinois,12582032.0
1703859,I-200-20350-959365,Certified,2020-12-22,"Software Developers, Applications",Z3 Technologies Inc.,Chicago,California,71074.0,Illinois,12582032.0
1703860,I-200-20350-960430,Certified,2020-12-22,"Software Developers, Systems Software","Qualcomm Technologies, Inc.",San Diego,California,98592.0,California,39029342.0
1703861,I-200-20350-959623,Certified,2020-12-22,Information Technology Project Managers,L&T Technology Services Limited,Lake Forest,California,85987.0,California,39029342.0
1703862,I-200-20350-961447,Certified,2020-12-22,Software Quality Assurance Engineers And Testers,Tata Consultancy Services Limited,Brooklyn,California,64064.0,Ohio,11756058.0
1703863,I-200-20350-961664,Certified,2020-12-22,Operations Research Analysts,Mu Sigma Business Solutions Llc,Bentonville,California,59509.0,Arkansas,3045637.0
1703864,I-200-20350-960975,Certified,2020-12-22,"Software Developers, Applications",Wissen It Inc,Creve Coeur,California,68515.0,Missouri,6177957.0
1703865,I-200-20350-959606,Certified,2020-12-22,"Software Developers, Applications","Mastech Digital Technologies, Inc.",Plano,California,93558.0,Texas,30029572.0
1703866,I-200-20350-960042,Certified,2020-12-22,"Software Developers, Applications",Facebook Inc.,Fremont,California,169562.0,California,39029342.0
1703867,I-200-20351-962114,Certified,2020-12-22,"Software Developers, Applications",Speridian Technologies Llc,Albuquerque,California,75650.0,New Mexico,2113344.0
1703868,I-200-20350-961825,Certified,2020-12-22,Sales Engineers,Apex-2000 Inc,Chantilly,California,125715.0,Virginia,8683619.0
1703869,I-200-20350-960643,Certified,2020-12-22,"Software Developers, Applications","Rhp Soft, Inc",Fremont,California,96616.0,California,39029342.0
1703870,I-200-20350-960583,Certified,2020-12-22,Computer Systems Analysts,Birlasoft Inc,Renton,California,91042.0,Washington,7785786.0
1703871,I-200-20350-960378,Certified,2020-12-22,"Electronics Engineers, Except Computer","Qualcomm Technologies, Inc.",Santa Clara,California,141669.0,California,39029342.0
1703872,I-200-20350-959352,Certified,2020-12-22,"Software Developers, Applications","Silverxis, Inc.",Jersey City,California,100526.0,New Jersey,9261699.0
1703873,I-200-20350-960813,Certified,2020-12-22,"Software Developers, Applications","Technovators, Inc",Malvern,California,89773.0,Pennsylvania,12972008.0
1703874,I-200-20350-962013,Certified,2020-12-22,"Software Developers, Systems Software","Cohesity, Inc.",Milpitas,California,89134.0,California,39029342.0
1703875,I-200-20350-960948,Certified,2020-12-22,Software Quality Assurance Engineers And Testers,Tata Consultancy Services Limited,Parsippany,California,67766.0,New Jersey,9261699.0
1703876,I-200-20350-961471,Certified,2020-12-22,"Software Developers, Applications","Malla Systems, Inc.",Phoenix,California,83637.0,Arizona,7359197.0
1703877,I-200-20350-961520,Certified,2020-12-22,"Software Developers, Applications",Synergy Global Technologies Inc.,Collegeville,California,105851.0,Pennsylvania,12972008.0
1703878,I-200-20350-961805,Certified,2020-12-22,Computer Programmers,Synapsis Inc,Santa Clara,California,96221.0,California,39029342.0
1703879,I-200-20350-961254,Certified,2020-12-22,"Software Developers, Applications",Dynamic Technology Inc.,Dallas,California,127150.0,Texas,30029572.0
1703880,I-200-20350-959501,Certified,2020-12-22,Information Technology Project Managers,"Hcl America, Inc.",Menlo Park,California,145205.0,California,39029342.0
1703881,I-200-20350-959518,Certified,2020-12-22,Computer Systems Analysts,"Hcl America, Inc.",Plano,California,114005.0,Texas,30029572.0
1703882,I-200-20350-959917,Certified,2020-12-22,"Software Developers, Applications",Paramount Software Solutions Inc,Brooklyn,California,100526.0,New York,19677151.0
1703883,I-200-20350-960046,Certified,2020-12-22,Computer Systems Analysts,"Hcl America, Inc.",Redmond,California,91042.0,Washington,7785786.0
1703884,I-200-20350-961215,Certified,2020-12-22,Computer Programmers,Mphasis Corporation,Austin,California,72717.0,Texas,30029572.0
1703885,I-200-20350-961010,Certified,2020-12-22,Information Technology Project Managers,Tata Consultancy Services Limited,Columbus,California,60861.0,Indiana,6833037.0
1703886,I-200-20350-959538,Certified,2020-12-22,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Madison,California,76232.0,Wisconsin,5892539.0
1703887,I-200-20351-962333,Certified,2020-12-22,"Software Developers, Systems Software",Prodigy Technologies Inc,Minneapolis,California,88712.0,Minnesota,5717184.0
1703888,I-200-20350-959340,Certified,2020-12-22,Network And Computer Systems Administrators,"Hcl America, Inc.",Frisco,California,90938.0,Texas,30029572.0
1703889,I-200-20350-961009,Certified,2020-12-22,"Software Developers, Applications","Key Business Solutions, Inc.",South Burlington,California,71614.0,Vermont,647064.0
1703890,I-200-20350-960670,Certified,2020-12-22,"Software Developers, Applications","Incedo, Inc.",Fremont,California,120931.0,California,39029342.0
1703891,I-200-20350-961314,Certified,2020-12-22,"Software Developers, Applications","Pioneer Consulting Services, Llc",Brooklyn,California,70678.0,Ohio,11756058.0
1703892,I-200-20350-959976,Certified,2020-12-22,Information Technology Project Managers,"Hcl America, Inc.",Allen,California,113027.0,Texas,30029572.0
1703893,I-200-20350-960424,Certified,2020-12-22,Computer Systems Analysts,Natsoft Corporation,Portland,California,95784.0,Oregon,4240137.0
1703894,I-200-20350-959511,Certified,2020-12-22,"Software Developers, Applications",Dynamic Enterprise Solutions Inc,Waukegan,California,104624.0,Illinois,12582032.0
1703895,I-200-20350-960766,Certified,2020-12-22,"Software Developers, Applications","Dgn Technologies, Inc",Sunnyvale,California,170872.0,California,39029342.0
1703896,I-200-20350-960542,Certified,2020-12-22,Computer Programmers,"Hcl America, Inc.",Mountain View,California,131747.0,California,39029342.0
1703897,I-200-20350-961615,Certified,2020-12-22,"Software Developers, Applications",Positive Group Llc,Richfield,California,88712.0,Minnesota,5717184.0
1703898,I-200-20350-959486,Certified,2020-12-22,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Riverview,California,89918.0,Florida,22244823.0
1703899,I-200-20350-962049,Certified,2020-12-22,"Software Developers, Systems Software","Qualcomm Technologies, Inc.",San Diego,California,95104.0,California,39029342.0
1703900,I-200-20350-961392,Certified,2020-12-22,Data Warehousing Specialists,Tata Consultancy Services Limited,Honolulu,California,68432.0,Hawaii,1440196.0
1703901,I-200-20350-959526,Certified,2020-12-22,Computer Systems Engineers/Architects,"Hcl America, Inc.",O Fallon,California,66602.0,Missouri,6177957.0
1703902,I-200-20350-961171,Certified,2020-12-22,Computer Programmers,Mphasis Corporation,Richardson,California,78645.0,Texas,30029572.0
1703903,I-200-20350-961218,Certified,2020-12-22,Mechanical Drafters,Tata Consultancy Services Limited,Houston,California,75899.0,Texas,30029572.0
1703904,I-200-20350-960663,Certified,2020-12-22,Software Quality Assurance Engineers And Testers,Infogain Corporation,Issaquah,California,82448.0,Washington,7785786.0
1703905,I-200-20350-960658,Certified,2020-12-22,"Software Developers, Applications",Stat9 Technologies Inc,Sacramento,California,119018.0,California,39029342.0
1703906,I-200-20350-961230,Certified,2020-12-22,Web Developers,Tata Consultancy Services Limited,Bayonne,California,69950.0,New Jersey,9261699.0
1703907,I-200-20350-959552,Certified,2020-12-22,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Wheeling,California,73882.0,Illinois,12582032.0
1703908,I-200-20350-959308,Certified,2020-12-22,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Tampa,California,72218.0,Florida,22244823.0
1703909,I-200-20350-961212,Certified,2020-12-22,"Software Developers, Applications","Sagitec Solutions, Llc",Frankfort,California,71843.0,Kentucky,4512310.0
1703910,I-200-20350-960717,Certified,2020-12-22,Mechanical Drafters,"Hcl America, Inc.",Burbank,California,53352.0,California,39029342.0
1703911,I-200-20351-962134,Certified,2020-12-22,"Software Developers, Applications",Global Sumi Technologies Inc,Edison,California,100526.0,New Jersey,9261699.0
1703912,I-200-20350-961732,Certified,2020-12-22,Computer Programmers,Tata Consultancy Services Limited,Pittsburgh,California,68598.0,Pennsylvania,12972008.0
1703913,I-200-20350-959404,Certified,2020-12-22,Computer Programmers,"Hcl America, Inc.",Richardson,California,58552.0,Texas,30029572.0
1703914,I-200-20350-960500,Certified,2020-12-22,Computer Systems Engineers/Architects,Virtusa Corporation,Pittsburgh,California,61485.0,Pennsylvania,12972008.0
1703915,I-200-20350-961864,Certified,2020-12-22,Information Technology Project Managers,Ust Global Inc,Indianapolis,California,75878.0,Indiana,6833037.0
1703916,I-200-20350-959303,Certified,2020-12-22,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Owings Mills,California,122949.0,Maryland,6164660.0
1703917,I-200-20350-959683,Certified,2020-12-22,Computer Systems Analysts,Virtusa Corporation,New York,California,114067.0,New York,19677151.0
1703918,I-200-20351-962091,Certified,2020-12-22,"Software Developers, Systems Software","Qualcomm Innovation Center, Inc.",Longmont,California,129681.0,Colorado,5839926.0
1703919,I-200-20350-962061,Certified,2020-12-22,"Electronics Engineers, Except Computer","Qualcomm Technologies, Inc.",San Diego,California,95104.0,California,39029342.0
1703920,I-200-20350-960106,Certified,2020-12-22,Computer Systems Analysts,"Hcl America, Inc.",Houston,California,94557.0,Texas,30029572.0
1703921,I-200-20350-959569,Certified,2020-12-22,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Cleveland,California,72550.0,Ohio,11756058.0
1703922,I-200-20350-961549,Certified,2020-12-22,Data Warehousing Specialists,Tata Consultancy Services Limited,Indianapolis,California,60611.0,Indiana,6833037.0
1703923,I-200-20350-959524,Certified,2020-12-22,Computer Systems Analysts,"Hcl America, Inc.",Redmond,California,91042.0,Washington,7785786.0
1703924,I-200-20350-959504,Certified,2020-12-22,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Aurora,California,90709.0,Illinois,12582032.0
1703925,I-200-20350-961588,Certified,2020-12-22,Data Warehousing Specialists,Tata Consultancy Services Limited,Indianapolis,California,60611.0,Indiana,6833037.0
1703926,I-200-20350-959540,Certified,2020-12-22,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Madison,California,76232.0,Wisconsin,5892539.0
1703927,I-200-20350-961651,Certified,2020-12-22,"Software Developers, Applications","Capgemini America, Inc.",Schaumburg,California,104624.0,Illinois,12582032.0
1703928,I-200-20350-960849,Certified,2020-12-22,"Software Developers, Applications","Hindsight Software Solutions, Inc",Frisco,California,93558.0,Texas,30029572.0
1703929,I-200-20350-961046,Certified,2020-12-22,Computer And Information Systems Managers,Zen3 Infosolutions America Inc,Redmond,California,143998.0,Washington,7785786.0
1703930,I-200-20350-959706,Certified,2020-12-22,Computer Systems Analysts,Capgemini America Inc,Charlotte,California,80766.0,North Carolina,10698973.0
1703931,I-200-20350-961809,Certified,2020-12-22,"Software Developers, Applications",Cognier Inc,Minnetonka,California,88712.0,Minnesota,5717184.0
1703932,I-200-20350-960937,Certified,2020-12-22,"Software Developers, Applications","Itech Us, Inc.",Morrisville,California,91291.0,North Carolina,10698973.0
1703933,I-200-20350-959508,Certified,2020-12-22,Information Technology Project Managers,"Hcl America, Inc.",Fremont,California,145205.0,California,39029342.0
1703934,I-200-20350-960524,Certified,2020-12-22,Computer Systems Engineers/Architects,"Astir It Solutions, Inc",Charlotte,California,93413.0,North Carolina,10698973.0
1703935,I-200-20350-961484,Certified,2020-12-22,"Software Developers, Applications",Neutronit Inc,Chicago,California,87838.0,Illinois,12582032.0
1703936,I-200-20350-959664,Certified,2020-12-22,Computer Systems Engineers/Architects,Atos Syntel Inc,Benton Harbor,California,54392.0,Michigan,10034113.0
1703937,I-200-20350-960488,Certified,2020-12-22,"Software Developers, Applications",Adaequare Inc,Gaithersburg,California,97406.0,Maryland,6164660.0
1703938,I-200-20350-959464,Certified,2020-12-22,Information Technology Project Managers,"Hcl America, Inc.",Round Lake,California,95555.0,Illinois,12582032.0
1703939,I-200-20350-959589,Certified,2020-12-22,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Torrance,California,105373.0,California,39029342.0
1703940,I-200-20350-960824,Certified,2020-12-22,"Software Developers, Systems Software","Qualcomm Technologies, Inc.",San Diego,California,98592.0,California,39029342.0
1703941,I-200-20350-960571,Certified,2020-12-22,"Software Developers, Applications","Iris Software, Inc.",Tampa,California,99923.0,Florida,22244823.0
1703942,I-200-20350-960570,Certified,2020-12-22,Software Quality Assurance Engineers And Testers,Capgemini America Inc,Irving,California,93538.0,Texas,30029572.0
1703943,I-200-20350-959791,Certified,2020-12-22,Information Technology Project Managers,"Virtusa Consulting Services Pvt., Ltd",Baltimore,California,107557.0,Maryland,6164660.0
1703944,I-200-20350-960659,Certified,2020-12-22,"Computer Occupations, All Other",Citiustech Inc.,Brentwood,California,70304.0,Tennessee,7051339.0
1703945,I-200-20350-959493,Certified,2020-12-22,Information Technology Project Managers,"Hcl America, Inc.",Cary,California,108638.0,North Carolina,10698973.0
1703946,I-200-20350-959536,Certified,2020-12-22,Software Quality Assurance Engineers And Testers,"Hcl America, Inc.",Alameda,California,95555.0,California,39029342.0
1703947,I-200-20350-959341,Certified,2020-12-22,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Manchester,California,81453.0,Connecticut,3626205.0
1703948,I-200-20350-960238,Certified,2020-12-22,Computer Systems Analysts,"New York Technology Partners, Inc.",Bloomington,California,86986.0,Illinois,12582032.0
1703949,I-200-20350-959327,Certified,2020-12-22,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,El Dorado Hills,California,99050.0,California,39029342.0
1703950,I-200-20350-959353,Certified,2020-12-22,"Software Developers, Applications",Cognizant Technology Solutions Us Corp,Atlanta,California,103501.0,Georgia,10912876.0
1703951,I-200-20350-961754,Certified,2020-12-22,"Software Developers, Applications",Novisys Llc,Atlanta,California,85842.0,Georgia,10912876.0
1703952,I-200-20350-959956,Certified,2020-12-22,Computer Systems Analysts,Virtusa Corporation,Pittsburgh,California,76918.0,Pennsylvania,12972008.0
1703953,I-200-20350-960031,Certified,2020-12-22,Software Quality Assurance Engineers And Testers,Ebay Inc.,San Jose,California,137363.0,California,39029342.0
1703954,I-200-20350-961037,Certified,2020-12-22,"Software Developers, Applications",Data Inc,San Francisco,California,145246.0,California,39029342.0
1703955,I-200-20350-961296,Certified,2020-12-22,Computer Systems Engineers/Architects,Tata Consultancy Services Limited,Jersey City,California,67766.0,New Jersey,9261699.0
1703956,I-200-20350-961750,Certified,2020-12-22,Information Technology Project Managers,Radcom Software Services Llc,Durham,California,82909.0,North Carolina,10698973.0
1703957,I-200-20350-961922,Certified,2020-12-22,"Software Developers, Applications",Sourceon It Inc.,Grand Rapids,California,63149.0,Michigan,10034113.0
1703958,I-200-20350-960455,Certified,2020-12-22,"Software Developers, Applications","Hexaware Technologies, Inc.",Chicago,California,87838.0,Illinois,12582032.0
1703959,I-200-20350-959325,Certified,2020-12-22,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,East Hanover,California,92269.0,New Jersey,9261699.0
1703960,I-200-20350-960590,Certified,2020-12-22,"Software Developers, Applications",Tredence Inc.,Bellevue,California,113110.0,Washington,7785786.0
1703961,I-200-20350-960285,Certified,2020-12-22,"Software Developers, Applications",Confiance Tech Solutions Inc.,New York,California,100526.0,New York,19677151.0
1703962,I-200-20350-959476,Certified,2020-12-22,Information Technology Project Managers,"Hcl America, Inc.",Foster City,California,120370.0,California,39029342.0
1703963,I-200-20350-960225,Certified,2020-12-22,"Computer Occupations, All Other","Pamten, Inc.",Princeton,California,72842.0,New Jersey,9261699.0
1703964,I-200-20350-959304,Certified,2020-12-22,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Frisco,California,114005.0,Texas,30029572.0
1703965,I-200-20350-960224,Certified,2020-12-22,Information Technology Project Managers,"Hcl America, Inc.",San Jose,California,110926.0,California,39029342.0
1703966,I-200-20351-962112,Certified,2020-12-22,"Software Developers, Applications","Facebook, Inc.",Menlo Park,California,116122.0,California,39029342.0
1703967,I-200-20350-961814,Certified,2020-12-22,Computer Systems Engineers/Architects,"Zifo Technologies, Inc.",Lawrence Township,California,58594.0,New Jersey,9261699.0
1703968,I-200-20350-959350,Certified,2020-12-22,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Woodland Hills,California,123594.0,California,39029342.0
1703969,I-200-20350-960825,Certified,2020-12-22,Database Architects,Etouch Systems Corporation,Durham,California,82909.0,North Carolina,10698973.0
1703970,I-200-20350-959717,Certified,2020-12-22,"Software Developers, Applications",Capgemini America Inc,Charlotte,California,104042.0,North Carolina,10698973.0
1703971,I-200-20350-960600,Certified,2020-12-22,Software Quality Assurance Engineers And Testers,Caprus It Inc,Glen Allen,California,73528.0,Virginia,8683619.0
1703972,I-200-20350-959468,Certified,2020-12-22,Computer Programmers,"Hcl America, Inc.",Cary,California,85280.0,North Carolina,10698973.0
1703973,I-200-20351-962085,Certified,2020-12-22,Graphic Designers,"Facebook, Inc.",Menlo Park,California,90438.0,California,39029342.0
1703974,I-200-20350-960291,Certified,2020-12-22,Computer Programmers,Mphasis Corporation,Charlotte,California,78790.0,North Carolina,10698973.0
1703975,I-200-20350-959466,Certified,2020-12-22,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Charlotte,California,80766.0,North Carolina,10698973.0
1703976,I-200-20350-959566,Certified,2020-12-22,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Brooklyn,California,72550.0,Ohio,11756058.0
1703977,I-200-20350-959471,Certified,2020-12-22,"Software Developers, Applications",Cognizant Technology Solutions Us Corp,Duluth,California,103501.0,Georgia,10912876.0
1703978,I-200-20350-960336,Certified,2020-12-22,Information Technology Project Managers,"Hcl America, Inc.",Cordova,California,88400.0,Tennessee,7051339.0
1703979,I-200-20350-960835,Certified,2020-12-22,"Software Developers, Systems Software",L&T Technology Services Limited,Chelmsford,California,96242.0,Massachusetts,6981974.0
1703980,I-200-20350-960806,Certified,2020-12-22,"Software Developers, Applications",Confiance Tech Solutions Inc.,New York,California,100526.0,New York,19677151.0
1703981,I-200-20350-961787,Certified,2020-12-22,Sales Engineers,"Arista Networks, Inc.",Frisco,California,135356.0,Texas,30029572.0
1703982,I-200-20350-960873,Certified,2020-12-22,"Software Developers, Applications",Latentview Analytics Corporation,Mclean,California,97406.0,Virginia,8683619.0
1703983,I-200-20350-961117,Certified,2020-12-22,"Electronics Engineers, Except Computer","Qualcomm Atheros, Inc.",San Jose,California,131881.0,California,39029342.0
1703984,I-200-20350-960314,Certified,2020-12-22,"Software Developers, Applications",Capgemini America Inc,Greenville,California,96054.0,South Carolina,5282634.0
1703985,I-200-20350-961884,Certified,2020-12-22,"Software Developers, Applications",Launch It Corp,Des Moines,California,84760.0,Iowa,3200517.0
1703986,I-200-20350-960923,Certified,2020-12-22,"Software Developers, Applications",Cloud Hub It Solutions Inc,Mckinney,California,110344.0,Texas,30029572.0
1703987,I-200-20350-959525,Certified,2020-12-22,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Jersey City,California,92269.0,New Jersey,9261699.0
1703988,I-200-20350-959697,Certified,2020-12-22,Software Quality Assurance Engineers And Testers,"Tech Mahindra (Americas), Inc",Omaha,California,64147.0,Nebraska,1967923.0
1703989,I-200-20350-959856,Certified,2020-12-22,Software Quality Assurance Engineers And Testers,Capgemini America Inc,Fort Mill,California,73486.0,South Carolina,5282634.0
1703990,I-200-20350-961797,Certified,2020-12-22,"Software Developers, Systems Software","Arista Networks, Inc.",Santa Clara,California,156776.0,California,39029342.0
1703991,I-200-20350-960329,Certified,2020-12-22,Data Warehousing Specialists,Capgemini America Inc,Bridgewater,California,91374.0,New Jersey,9261699.0
1703992,I-200-20350-960536,Certified,2020-12-22,"Electronics Engineers, Except Computer","Orchestra Technology, Inc",Santa Clara,California,96906.0,California,39029342.0
1703993,I-200-20350-960482,Certified,2020-12-22,"Software Developers, Applications",Isite Technologies Inc.,Middletown,California,100526.0,New Jersey,9261699.0
1703994,I-200-20350-959720,Certified,2020-12-22,Commercial And Industrial Designers,L&T Technology Services Limited,Raymond,California,60549.0,Ohio,11756058.0
1703995,I-200-20350-960621,Certified,2020-12-22,Computer Systems Analysts,Tata Consultancy Services Limited,Woodland Hills,California,87173.0,California,39029342.0
1703996,I-200-20350-960519,Certified,2020-12-22,Software Quality Assurance Engineers And Testers,Capgemini America Inc,Columbus,California,72883.0,Ohio,11756058.0
1703997,I-200-20350-959727,Certified,2020-12-22,"Software Developers, Applications","Facebook, Inc.",Seattle,California,155106.0,Washington,7785786.0
1703998,I-200-20350-959920,Certified,2020-12-22,Information Technology Project Managers,Capgemini America Inc,Taylorsville,California,82389.0,Utah,3380800.0
1703999,I-200-20350-959347,Certified,2020-12-22,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Torrance,California,123594.0,California,39029342.0
1704000,I-200-20350-961160,Certified,2020-12-22,Computer Programmers,Tata Consultancy Services Limited,Cleveland,California,56139.0,Ohio,11756058.0
1704001,I-200-20350-960102,Certified,2020-12-22,Mechanical Engineers,"Onward Technologies, Inc",Fenton,California,82576.0,Michigan,10034113.0
1704002,I-200-20350-961407,Certified,2020-12-22,"Software Developers, Applications",Javen Technologies Inc.,Richfield,California,105726.0,Minnesota,5717184.0
1704003,I-200-20350-960526,Certified,2020-12-22,Computer Programmers,"Hcl America, Inc.",Mountain View,California,96221.0,California,39029342.0
1704004,I-200-20350-960797,Certified,2020-12-22,Information Technology Project Managers,L&T Technology Services Limited,Lake Forest,California,85987.0,California,39029342.0
1704005,I-200-20350-960377,Certified,2020-12-22,Computer User Support Specialists,"Hcl America, Inc.",Troy,California,48901.0,Michigan,10034113.0
1704006,I-200-20350-962080,Certified,2020-12-22,"Software Developers, Applications","Facebook, Inc.",Menlo Park,California,169562.0,California,39029342.0
1704007,I-200-20350-960756,Certified,2020-12-22,Mechatronics Engineers,L&T Technology Services Limited,Modesto,California,96595.0,California,39029342.0
1704008,I-200-20350-961055,Certified,2020-12-22,Database Administrators,"Facebook, Inc.",Fremont,California,169392.0,California,39029342.0
1704009,I-200-20350-961707,Certified,2020-12-22,"Software Developers, Applications","Edify Technologies, Inc.",Wheeling,California,87838.0,Illinois,12582032.0
1704010,I-200-20351-962396,Certified,2020-12-22,"Software Developers, Applications",Insyst Inc,Plano,California,110344.0,Texas,30029572.0
1704011,I-200-20351-962159,Certified,2020-12-22,"Software Developers, Applications",Facebook Inc.,Menlo Park,California,145246.0,California,39029342.0
1704012,I-200-20350-960759,Certified,2020-12-22,"Software Developers, Applications","Scepter Technologies, Inc",Santa Fe,California,55494.0,New Mexico,2113344.0
1704013,I-200-20350-961965,Certified,2020-12-22,"Software Developers, Applications","Facebook, Inc.",San Francisco,California,145246.0,California,39029342.0
1704014,I-200-20350-961180,Certified,2020-12-22,"Software Developers, Applications","Srs Consulting, Inc.",San Jose,California,120578.0,California,39029342.0
